縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數
"10010","嘉義縣","10010130","中埔鄉","10010130-013","灣潭村",121.33,2.77,88.14,46.63923176044001130300,8.77914950784753153900,37.86008225259247976300,431.2499932617188600
"10010","嘉義縣","10010130","中埔鄉","10010130-014","石?村",108.58,2.70,67.17,56.09756090359748279400,13.73555839058336535200,42.36200251301411744200,308.4112120709232500
"10010","嘉義縣","10010130","中埔鄉","10010130-015","頂埔村",123.67,2.95,322.70,45.25862062462841864300,9.48275860706500200100,35.77586201756341664100,377.2727215564739200
"10010","嘉義縣","10010130","中埔鄉","10010130-016","同仁村",120.22,2.80,303.16,46.06413990811651610200,11.07871719309131399900,34.98542271502520210300,315.7894716066482100
"10010","嘉義縣","10010130","中埔鄉","10010130-017","瑞豐村",117.78,3.16,117.35,40.25044715518703550100,11.80679783218819708000,28.44364932299883842000,240.9090872589532200
"10010","嘉義縣","10010130","中埔鄉","10010130-018","沄水村",114.76,2.71,142.52,44.67787108588533461400,9.94397757710927510200,34.73389350877605951200,349.2957697282286000
"10010","嘉義縣","10010130","中埔鄉","10010130-019","三層村",107.89,2.76,104.99,35.31827508148198135200,9.65092400482356467200,25.66735107665841668000,265.9574411498416800
"10010","嘉義縣","10010130","中埔鄉","10010130-020","深坑村",121.20,3.03,123.43,53.17460306909800978400,13.09523806925548002100,40.07936499984252976200,306.0606014233242200
"10010","嘉義縣","10010130","中埔鄉","10010130-021","東興村",127.04,2.67,25.82,32.72058811499783781300,3.30882351724697236300,29.41176459775086544900,888.8887901234677600
"10010","嘉義縣","10010130","中埔鄉","10010130-022","中崙村",122.39,2.42,33.20,45.36585343723973933100,9.26829263771564567000,36.09756079952409366100,389.4736637119124400
"10010","嘉義縣","10010140","竹崎鄉","10010140-001","竹崎村",100.42,2.81,1536.53,47.25500254117239479700,17.90661876967336132900,29.34838377149903346800,163.8968476679173400
"10010","嘉義縣","10010140","竹崎鄉","10010140-002","和平村",105.65,2.95,601.67,45.22845572861280756000,17.64025447215716918900,27.58820125645563837100,156.3934421101854400
"10010","嘉義縣","10010140","竹崎鄉","10010140-003","坑頭村",119.47,3.09,202.58,49.90892522785259521300,13.84335152305400451200,36.06557370479859070200,260.5263123614958900
"10010","嘉義縣","10010140","竹崎鄉","10010140-004","沙坑村",114.32,2.95,258.15,42.99835248270452638800,8.40197692190778101800,34.59637556079674536900,411.7646978085353400
"10010","嘉義縣","10010140","竹崎鄉","10010140-005","獅埜村",118.57,3.09,176.90,49.70828465611635396000,9.80163359416378810500,39.90665106195256585500,407.1428522959184300
"10010","嘉義縣","10010140","竹崎鄉","10010140-006","義和村",125.43,3.01,314.91,47.08520168814977200000,9.64125558376400093300,37.44394610438577106600,388.3720839913468800
"10010","嘉義縣","10010140","竹崎鄉","10010140-007","義仁村",120.24,2.82,208.34,46.43799466169129991900,9.36675460505705197200,37.07124005663424794600,395.7746423130332100
"10010","嘉義縣","10010140","竹崎鄉","10010140-008","灣橋村",104.95,2.63,706.88,38.58363857421644967700,8.91330891113228109600,29.67032966308416858000,332.8767114167761300
"10010","嘉義縣","10010140","竹崎鄉","10010140-009","鹿滿村",117.58,3.00,557.73,43.53612163161965624400,10.55133078844930533400,32.98479084317035091000,312.6126097962827900
"10010","嘉義縣","10010140","竹崎鄉","10010140-010","紫雲村",110.26,3.08,638.47,48.07321768008360531800,13.96917147016457469200,34.10404620991903062600,244.1379293507729000
"10010","嘉義縣","10010140","竹崎鄉","10010140-011","內埔村",104.71,2.90,743.18,45.36878212232522974100,9.94854201548152485800,35.42024010684370488300,356.0344796893579300
"10010","嘉義縣","10010140","竹崎鄉","10010140-012","昇平村",111.81,3.13,318.24,44.29118770552399409500,11.95402297934557626100,32.33716472617841783400,270.5128187787639800
"10010","嘉義縣","10010140","竹崎鄉","10010140-013","白杞村",121.58,2.66,167.28,53.31753541867882602200,10.90047390781878220900,42.41706151086004381300,389.1304263232516000
"10010","嘉義縣","10010140","竹崎鄉","10010140-014","桃源村",133.19,2.91,127.95,50.77138842809061931500,11.64095370036331879300,39.13043472772730052200,336.1445742633183800
"10010","嘉義縣","10010140","竹崎鄉","10010140-015","塘興村",115.61,3.06,184.59,45.39473676744286715900,7.73026314518048824800,37.66447362226237891100,487.2340321865099500
"10010","嘉義縣","10010140","竹崎鄉","10010140-016","義隆村",116.25,3.20,171.57,40.36511147998963188600,11.76470585848944044900,28.60040562150019143700,243.1034440844233800
"10010","嘉義縣","10010140","竹崎鄉","10010140-017","龍山村",115.11,3.25,340.23,44.36987319584647785500,13.34824756648154543900,31.02162562936493241700,232.4022333385350100
"10010","嘉義縣","10010140","竹崎鄉","10010140-018","文?村",129.93,2.46,91.45,46.95652163705103991900,9.13043476275992442900,37.82608687429111549100,414.2857044217689400
"10010","嘉義縣","10010140","竹崎鄉","10010140-019","金獅村",132.04,2.35,58.41,53.84615364891518809900,8.42490839404795460100,45.42124525486723349900,539.1304113421560300
"10010","嘉義縣","10010140","竹崎鄉","10010140-020","復金村",118.19,3.28,260.65,53.79362666631743045000,14.56752654433419837300,39.22610012198323207700,269.2708319308810800
"10010","嘉義縣","10010140","竹崎鄉","10010140-021","緞繻村",122.56,2.61,109.60,58.97009956981711034900,13.12292356624099075400,45.84717600357611959500,349.3670841852267800
"10010","嘉義縣","10010140","竹崎鄉","10010140-022","仁壽村",165.63,2.09,17.19,57.40740705304069720300,9.25925920210333825900,48.14814785093735894500,519.9999653333356400
"10010","嘉義縣","10010140","竹崎鄉","10010140-023","中和村",127.93,2.47,81.77,50.88028160056288450600,13.90845067973864316900,36.97183092082424133700,265.8227814452812500
"10010","嘉義縣","10010140","竹崎鄉","10010140-024","光華村",136.30,2.44,29.63,52.99145287822339128600,9.82905980805756451300,43.16239307016582677300,439.1304252362951000
"10010","嘉義縣","10010150","梅山鄉","10010150-001","梅東村",102.87,2.50,2189.26,54.03329061841658731200,13.38028168157472363500,40.65300893684186367700,303.8277497424509600
"10010","嘉義縣","10010150","梅山鄉","10010150-002","梅南村",94.70,2.37,1024.56,59.82608685247637069100,11.65217389277882801300,48.17391295969754267900,413.4328296502562700
"10010","嘉義縣","10010150","梅山鄉","10010150-003","過山村",111.92,2.55,102.71,56.09065139917662493200,7.36543907261915276900,48.72521232655747216300,661.5384360946755300
"10010","嘉義縣","10010150","梅山鄉","10010150-004","梅北村",103.25,2.62,2291.38,45.17282477795803790900,13.11084624162370493400,32.06197853633433297500,244.5454539896694200
"10010","嘉義縣","10010150","梅山鄉","10010150-005","圳南村",134.44,2.60,65.22,52.34657020813512560200,8.66425989651891734100,43.68231031161620826100,504.1666456597231000
"10010","嘉義縣","10010150","梅山鄉","10010150-006","永興村",113.23,2.69,291.16,61.17647040830449879900,13.82352937110726655600,47.35294103719723224400,342.5531842009960800
"10010","嘉義縣","10010150","梅山鄉","10010150-007","半天村",103.45,2.57,129.48,72.68292647471743183100,10.24390238905413468800,62.43902408566329714300,609.5237804988676000
"10010","嘉義縣","10010150","梅山鄉","10010150-008","圳北村",116.84,2.77,145.92,59.68992232638262964800,14.47028420033518294500,45.21963812604744670300,312.4999944196429600
"10010","嘉義縣","10010150","梅山鄉","10010150-009","大南村",129.91,2.91,298.54,53.47405448243266976000,12.75285838808015972900,40.72119609435251003100,319.3103426254459100
"10010","嘉義縣","10010150","梅山鄉","10010150-010","?溪村",126.98,2.59,149.54,45.91836722980008359700,11.22448976728446487900,34.69387746251561871800,309.0909020661158600
"10010","嘉義縣","10010150","梅山鄉","10010150-011","安靖村",127.03,2.73,221.33,49.46619208280036995900,6.76156582426767646900,42.70462625853269349000,631.5789307479228800
"10010","嘉義縣","10010150","梅山鄉","10010150-012","太平村",135.89,2.65,86.80,50.76452583864059376600,5.50458713912970293800,45.25993869951089082700,822.2221765432124100
"10010","嘉義縣","10010150","梅山鄉","10010150-013","碧湖村",121.43,2.34,59.34,39.49999980250000098700,1.49999999250000003700,37.99999981000000095000,2533.3324888891703700
