縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
10007,彰化縣,10007110,溪湖鎮,102.47,3.26,1702.82,42.61,20.89,21.72,103.94,110Y06M
10007,彰化縣,10007120,田中鎮,105.36,3.02,1168.54,43.75,15.83,27.93,176.46,110Y06M
10007,彰化縣,10007130,大村鄉,104.19,3.31,1267.78,36.85,16.37,20.48,125.13,110Y06M
10007,彰化縣,10007140,埔鹽鄉,110.33,3.41,824.02,39.88,13.65,26.23,192.2,110Y06M
10007,彰化縣,10007150,埔心鄉,105.33,3.12,1633.5,35.39,13.94,21.45,153.82,110Y06M
10007,彰化縣,10007160,永靖鄉,107.21,3.25,1749.09,39.66,15.77,23.89,151.43,110Y06M
10007,彰化縣,10007170,社頭鄉,105.49,3.2,1169.96,40.2,16.17,24.03,148.64,110Y06M
10007,彰化縣,10007180,二水鄉,111.61,2.74,492.78,49.85,12.66,37.19,293.72,110Y06M
10007,彰化縣,10007190,北斗鎮,100.93,2.99,1732.72,43.32,19.18,24.14,125.87,110Y06M
10007,彰化縣,10007200,二林鎮,105,3.23,531.84,44.53,15.59,28.94,185.62,110Y06M
10007,彰化縣,10007210,田尾鄉,106.8,3.26,1107.39,39.92,14.96,24.96,166.83,110Y06M
10007,彰化縣,10007220,埤頭鄉,106.43,3.26,699.5,45.18,17.15,28.03,163.48,110Y06M
10007,彰化縣,10007230,芳苑鄉,111.77,3.2,354.7,45.81,13.11,32.69,249.33,110Y06M
10007,彰化縣,10007240,大城鄉,117.4,3.08,250.08,50.75,11.56,39.19,339.12,110Y06M
10007,彰化縣,10007250,竹塘鄉,109.98,3.2,348.34,52.48,16.98,35.49,208.99,110Y06M
10007,彰化縣,10007260,溪州鄉,109.1,3.2,382.23,44.57,14.62,29.95,204.88,110Y06M
10008,南投縣,10008010,南投市,99.82,2.78,1380.1,42.22,17.04,25.18,147.8,110Y06M
10008,南投縣,10008020,埔里鎮,98.47,2.71,485.76,41.81,15.3,26.51,173.31,110Y06M
10008,南投縣,10008030,草屯鎮,101.36,2.85,935.87,40.05,15.81,24.24,153.3,110Y06M
10008,南投縣,10008040,竹山鎮,104.3,2.62,214.81,44.21,14.37,29.84,207.73,110Y06M
10008,南投縣,10008050,集集鎮,109.93,2.44,208.34,44.39,11.44,32.95,287.94,110Y06M
10008,南投縣,10008060,名間鄉,111.23,2.94,448.56,41.03,12.41,28.61,230.48,110Y06M
10008,南投縣,10008070,鹿谷鄉,114.69,2.14,120.01,46.26,10.47,35.79,341.84,110Y06M
10008,南投縣,10008080,中寮鄉,120.11,2.54,96.58,45.62,10.73,34.88,325,110Y06M
10008,南投縣,10008090,魚池鄉,111.77,2.66,125.96,44.59,11.77,32.83,279.02,110Y06M
10008,南投縣,10008100,國姓鄉,117.55,2.48,100.89,42.16,10.36,31.8,306.89,110Y06M
10008,南投縣,10008110,水里鄉,110.48,2.37,157.58,46.23,12.27,33.96,276.72,110Y06M
10008,南投縣,10008120,信義鄉,115.36,3,11.1,37.51,19.46,18.05,92.75,110Y06M
10008,南投縣,10008130,仁愛鄉,105.84,3.26,12.37,41.39,23.87,17.53,73.42,110Y06M
10009,雲林縣,10009010,斗六市,98.24,2.74,1158.39,40.22,18.6,21.63,116.27,110Y06M
10009,雲林縣,10009020,斗南鎮,102.83,2.71,911.14,42.14,15.3,26.84,175.38,110Y06M
10009,雲林縣,10009030,虎尾鎮,102.16,2.72,1029.6,42.98,19.42,23.57,121.37,110Y06M
10009,雲林縣,10009040,西螺鎮,100.67,3,909.38,46.56,18.99,27.56,145.12,110Y06M
10009,雲林縣,10009050,土庫鎮,109.27,2.94,574.42,46.84,16.23,30.61,188.62,110Y06M
10009,雲林縣,10009060,北港鎮,106.96,2.41,935.64,45.91,16.25,29.67,182.63,110Y06M
10009,雲林縣,10009070,古坑鄉,110.99,2.71,183.99,44.74,12.68,32.06,252.76,110Y06M
10009,雲林縣,10009080,大埤鄉,113.21,2.78,412.42,44.16,12.92,31.24,241.85,110Y06M
10009,雲林縣,10009090,莿桐鄉,108.8,2.97,553.72,42.88,14.73,28.15,191.18,110Y06M
10009,雲林縣,10009100,林內鄉,110.25,2.89,464.03,43.84,15.24,28.6,187.61,110Y06M
10009,雲林縣,10009110,二崙鄉,114.7,2.88,433.65,47.89,13.08,34.81,266.04,110Y06M
10009,雲林縣,10009120,崙背鄉,111.58,2.75,406.09,48.79,15.02,33.77,224.91,110Y06M
10009,雲林縣,10009130,麥寮鄉,98.72,3.16,598.05,36.82,19.63,17.19,87.53,110Y06M
10009,雲林縣,10009140,東勢鄉,124.86,2.42,289.23,45.92,10.52,35.4,336.61,110Y06M
10009,雲林縣,10009150,褒忠鄉,116.17,2.79,334.1,44.86,12.7,32.17,253.36,110Y06M
10009,雲林縣,10009160,臺西鄉,115.15,2.68,421.73,41.04,11.38,29.66,260.62,110Y06M
10009,雲林縣,10009170,元長鄉,120.84,2.68,341.71,51.51,12.01,39.5,328.88,110Y06M
10009,雲林縣,10009180,四湖鄉,119.94,2.55,287.02,43.45,9.33,34.13,365.95,110Y06M
10009,雲林縣,10009190,口湖鄉,114.58,2.8,325.76,40.91,11.35,29.56,260.49,110Y06M
10009,雲林縣,10009200,水林鄉,120.17,2.49,328.34,50.2,10.88,39.32,361.44,110Y06M
10010,嘉義縣,10010010,太保市,103.62,2.81,577.62,36.81,17.27,19.54,113.12,110Y06M
10010,嘉義縣,10010020,朴子市,101.54,2.61,836.55,45.99,17.53,28.46,162.38,110Y06M
10010,嘉義縣,10010030,布袋鎮,103.86,2.62,417.13,41.25,9.96,31.29,314.1,110Y06M
10010,嘉義縣,10010040,大林鎮,103.6,2.65,471.84,46.29,13.3,32.99,248.11,110Y06M
10010,嘉義縣,10010050,民雄鄉,104.4,2.75,830.81,36.87,13.77,23.1,167.7,110Y06M
10010,嘉義縣,10010060,溪口鄉,114.07,2.64,420.86,47.88,10.43,37.45,359.02,110Y06M
10010,嘉義縣,10010070,新港鄉,111.35,2.85,469.36,44.72,13.2,31.52,238.76,110Y06M
10010,嘉義縣,10010080,六腳鄉,112.92,2.52,352.67,49.77,8.79,40.98,466.1,110Y06M
10010,嘉義縣,10010090,東石鄉,112.38,2.6,289.28,44.96,10.09,34.88,345.8,110Y06M
10010,嘉義縣,10010100,義竹鄉,109.13,2.41,220.12,50.3,9.47,40.82,431,110Y06M
10010,嘉義縣,10010110,鹿草鄉,116.01,2.58,272.19,50.92,9.7,41.22,425.05,110Y06M
10010,嘉義縣,10010120,水上鄉,106.96,2.63,705.64,36.18,10.24,25.94,253.2,110Y06M
10010,嘉義縣,10010130,中埔鄉,107.46,2.72,339.4,38.62,12.05,26.57,220.47,110Y06M
10010,嘉義縣,10010140,竹崎鄉,113.79,2.95,212.74,42.9,12.17,30.73,252.41,110Y06M
